"Module Version","Module Version"
"Composer Version","Composer Version"
"Version","Version"
"Enable","Enable"
"HTML and Scripts","HTML and Scripts"
"Is Enabled","Is Enabled"
"Title/Description","Title/Description"
"Scripts","Scripts"
"Add","Add"
